id,title,year,source,query,run_date,stage,decision,reason,type,era,evidence_kind,screener1,screener2,category
arXiv:2603.23559v2,CAPTCHA Solving for Native GUI Agents: Automated Reasoning-Action Data Generation and Self-Corrective Training,2026,arXiv+SemanticScholar,"(abs:""bot detection"" OR abs:""bot mitigation"" OR abs:""anti-automation"" OR abs:""browser fingerprinting"" OR abs:CAPTCHA) AND (abs:attestation OR abs:cost OR abs:economics OR abs:architecture OR abs:""CAPTCHA solving"" OR abs:""vision-language model"" OR abs:VLM OR abs:""web agent"" OR abs:""computer-use agent"" OR abs:""GUI agent"")",2026-09-23,title/abstract,include (already cited as [30]),both screeners: VLM GUI agent trained to solve interactive CAPTCHAs; evaluates automated attack on CAPTCHAs.,CAPTCHA,VLM,benchmark/measurement,include,include,A
arXiv:2306.07543v1,How Secure is Your Website? A Comprehensive Investigation on CAPTCHA Providers and Solving Services,2023,arXiv+SemanticScholar,"(abs:""bot detection"" OR abs:""bot mitigation"" OR abs:""anti-automation"" OR abs:""browser fingerprinting"" OR abs:CAPTCHA) AND (abs:attestation OR abs:cost OR abs:economics OR abs:architecture OR abs:""CAPTCHA solving"" OR abs:""vision-language model"" OR abs:VLM OR abs:""web agent"" OR abs:""computer-use agent"" OR abs:""GUI agent"")",2026-09-23,title/abstract,include,both screeners: Evaluates CAPTCHA-solving services and adversarial attacks on modern CAPTCHAs,ECON,,,include,include,A
arXiv:2510.06067v2,Reasoning under Vision: Understanding Visual-Spatial Cognition in Vision-Language Models for CAPTCHA,2025,arXiv+SemanticScholar,"(abs:""bot detection"" OR abs:""bot mitigation"" OR abs:""anti-automation"" OR abs:""browser fingerprinting"" OR abs:CAPTCHA) AND (abs:attestation OR abs:cost OR abs:economics OR abs:architecture OR abs:""CAPTCHA solving"" OR abs:""vision-language model"" OR abs:VLM OR abs:""web agent"" OR abs:""computer-use agent"" OR abs:""GUI agent"")",2026-09-23,title/abstract,include,both screeners: Evaluates VLM-based CAPTCHA solving attacks with reasoning benchmark and agentic framework,CAPTCHA,,,include,include,A
arXiv:1310.1540v1,"Three-Way Dissection of a Game-CAPTCHA: Automated Attacks, Relay Attacks, and Usability",2013,arXiv+SemanticScholar,"(abs:""bot detection"" OR abs:""bot mitigation"" OR abs:""anti-automation"" OR abs:""browser fingerprinting"" OR abs:CAPTCHA) AND (abs:attestation OR abs:cost OR abs:economics OR abs:architecture OR abs:""CAPTCHA solving"" OR abs:""vision-language model"" OR abs:VLM OR abs:""web agent"" OR abs:""computer-use agent"" OR abs:""GUI agent"")",2026-09-23,title/abstract,include,both screeners: Evaluates automated and relay attacks against web game-CAPTCHAs,CAPTCHA,,,include,include,A
arXiv:2609.02393v1,CAPTCHAs in the Agentic Era: Solvers That Learn from Every Encounter,2026,arXiv+SemanticScholar,"(abs:""bot detection"" OR abs:""bot mitigation"" OR abs:""anti-automation"" OR abs:""browser fingerprinting"" OR abs:CAPTCHA) AND (abs:attestation OR abs:cost OR abs:economics OR abs:architecture OR abs:""CAPTCHA solving"" OR abs:""vision-language model"" OR abs:VLM OR abs:""web agent"" OR abs:""computer-use agent"" OR abs:""GUI agent"")",2026-09-23,title/abstract,include,both screeners: Evaluates adaptive VLM/YOLO CAPTCHA solver and adversarial arms race against visual CAPTCHAs,CAPTCHA,,,include,include,A
arXiv:2512.02318v4,COGNITION: From Evaluation to Defense against Multimodal LLM CAPTCHA Solvers,2025,arXiv+SemanticScholar,"(abs:""bot detection"" OR abs:""bot mitigation"" OR abs:""anti-automation"" OR abs:""browser fingerprinting"" OR abs:CAPTCHA) AND (abs:attestation OR abs:cost OR abs:economics OR abs:architecture OR abs:""CAPTCHA solving"" OR abs:""vision-language model"" OR abs:VLM OR abs:""web agent"" OR abs:""computer-use agent"" OR abs:""GUI agent"")",2026-09-23,title/abstract,include,both screeners: Evaluates MLLM CAPTCHA solvers and derives defense guidelines; peer-reviewed preprint research.,CAPTCHA,,,include,include,A
arXiv:2405.07496v1,Oedipus: LLM-enchanced Reasoning CAPTCHA Solver,2024,arXiv+SemanticScholar,"(abs:""bot detection"" OR abs:""bot mitigation"" OR abs:""anti-automation"" OR abs:""browser fingerprinting"" OR abs:CAPTCHA) AND (abs:attestation OR abs:cost OR abs:economics OR abs:architecture OR abs:""CAPTCHA solving"" OR abs:""vision-language model"" OR abs:VLM OR abs:""web agent"" OR abs:""computer-use agent"" OR abs:""GUI agent"")",2026-09-23,title/abstract,include,both screeners: Evaluates LLM-based attack solving reasoning CAPTCHAs at CCS,CAPTCHA,,,include,include,A
arXiv:2510.02374v1,A Hybrid CAPTCHA Combining Generative AI with Keystroke Dynamics for Enhanced Bot Detection,2025,arXiv+SemanticScholar,"(abs:""bot detection"" OR abs:""bot mitigation"" OR abs:""anti-automation"" OR abs:""browser fingerprinting"" OR abs:CAPTCHA) AND (abs:attestation OR abs:cost OR abs:economics OR abs:architecture OR abs:""CAPTCHA solving"" OR abs:""vision-language model"" OR abs:VLM OR abs:""web agent"" OR abs:""computer-use agent"" OR abs:""GUI agent"")",2026-09-23,title/abstract,include,both screeners: Evaluates hybrid CAPTCHA using keystroke-dynamics behavioral biometrics against bot attacks,CAPTCHA,,,include,include,M
arXiv:2609.18518v1,Robot Visions: Breaking reCAPTCHA at Zero Cost and Zero Shot,2026,arXiv+SemanticScholar,"(abs:""bot detection"" OR abs:""bot mitigation"" OR abs:""anti-automation"" OR abs:""browser fingerprinting"" OR abs:CAPTCHA) AND (abs:attestation OR abs:cost OR abs:economics OR abs:architecture OR abs:""CAPTCHA solving"" OR abs:""vision-language model"" OR abs:VLM OR abs:""web agent"" OR abs:""computer-use agent"" OR abs:""GUI agent"")",2026-09-23,title/abstract,include,both screeners: Evaluates zero-shot local VLM solvers attacking reCAPTCHA; automated CAPTCHA attack research.,CAPTCHA,,,include,include,A
arXiv:2510.02418v2,BrowserArena: Evaluating LLM Agents on Real-World Web Navigation Tasks,2025,arXiv+SemanticScholar,"(abs:""bot detection"" OR abs:""bot mitigation"" OR abs:""anti-automation"" OR abs:""browser fingerprinting"" OR abs:CAPTCHA) AND (abs:attestation OR abs:cost OR abs:economics OR abs:architecture OR abs:""CAPTCHA solving"" OR abs:""vision-language model"" OR abs:VLM OR abs:""web agent"" OR abs:""computer-use agent"" OR abs:""GUI agent"")",2026-09-23,title/abstract,include,both screeners: Evaluates LLM web agents' captcha-resolution and bot-challenge circumvention strategies on live web,OTHER,,,include,include,A
